SkuId;SkuPartNumber;DisplayName;SkuType
e612d426-6bc3-4181-9658-91aa906b0ac0;CDS_DB_CAPACITY;Common Data Service Database Capacity;Commercial
631d5fb1-a668-4c2a-9427-8830665a742e;CDS_FILE_CAPACITY;Common Data Service for Apps File Capacity;Commercial
448b063f-9cc6-42fc-a0e6-40e08724a395;CDS_LOG_CAPACITY;Common Data Service Log Capacity;Commercial
1e615a51-59db-4807-9957-aa83c3657351;Dynamics_365_Customer_Service_Enterprise_viral_trial;Dynamics 365 Customer Service Enterprise Viral Trial;Trial
bc946dac-7877-4271-b2f7-99d2db13cd2c;FORMS_PRO;Dynamics 365 Customer Voice Trial;Trial
749742bf-0d37-4158-a120-33567104deeb;DYN365_ENTERPRISE_CUSTOMER_SERVICE;Dynamics 365 for Customer Service Enterprise Edition;Commercial
85430fb9-02e8-48be-9d7e-328beb41fa29;DYN365_MARKETING_APP_ATTACH;Dynamics 365 for Marketing Attach;Commercial
4b32a493-9a67-4649-8eb9-9fc5a5f75c12;D365_MARKETING_USER;Dynamics 365 for Marketing USL;Free
1e1a282c-9c54-43a2-9310-98ef728faace;DYN365_ENTERPRISE_SALES;Dynamics 365 for Sales Enterprise Edition;Commercial
6ec92958-3cc1-49db-95bd-bc6b3798df71;Dynamics_365_Sales_Premium_Viral_Trial;Dynamics 365 Sales Premium Viral Trial;Trial
7ac9fe77-66b7-4e5e-9e46-10eed1cff547;DYN365_TEAM_MEMBERS;Dynamics 365 Team Members;Commercial
4b9405b0-7788-4568-add1-99614e613b69;EXCHANGESTANDARD;Exchange Online (Plan 1);Commercial
19ec0d23-8335-4cbd-94ac-6050e30712fa;EXCHANGEENTERPRISE;Exchange Online (PLAN 2);Commercial
ee02fd1b-340e-4a4b-b355-4a514e4c8943;EXCHANGEARCHIVE_ADDON;Exchange Online Archiving for Exchange Online;Commercial
80b2d799-d2ba-4d2a-8842-fb0d0f3a4b82;EXCHANGEDESKLESS;Exchange Online Kiosk;Commercial
cdd28e44-67e3-425e-be4c-737fab2899d3;O365_BUSINESS;Microsoft 365 Apps for Business;Commercial
3b555118-da6a-4418-894f-7df1e2096870;O365_BUSINESS_ESSENTIALS;Microsoft 365 Business Basic;Commercial
cbdc14ab-d96c-4c30-b9f4-6ada7cdc1d46;SPB;Microsoft 365 Business Premium;Commercial
f245ecc8-75af-4f8e-b61f-27d8114de5f3;O365_BUSINESS_PREMIUM;Microsoft 365 Business Standard;Commercial
639dec6b-bb19-468b-871c-c5c441c4b0cb;Microsoft_365_Copilot;Microsoft 365 Copilot;Commercial
50f60901-3181-4b75-8a2c-4c8e4c1d5a72;M365_F1_COMM;Microsoft 365 F1;Commercial
726a0894-2c77-4d65-99da-9775ef05aad1;MICROSOFT_BUSINESS_CENTER;Microsoft Business Center;Free
fcecd1f9-a91e-488d-a918-a96cdb6ce2b0;AX7_USER_TRIAL;Microsoft Dynamics AX7 User Trial;Trial
a403ebcc-fae0-4ca2-8c8c-7a907fd6c235;POWER_BI_STANDARD;Microsoft Fabric (Free) Power BI (free);Free
